Code system;Method;Embedding model;LLM;Accuracy;Partial Accuracy;F1 weighted (exact);F1 weighted (partial);F1 macro (exact);F1 macro (partial);Malformed
ICD-10;RAG-prompting similarity search;mE5;Llama 3.1 PEFT;22.78;73.81;26.86;75.46;18.48;48.84;0.1
ICD-10;RAG-prompting similarity search;mE5;Llama 3.3 base;34.68;81.18;38.15;82.28;26.61;60.75;0.44
ICD-10;RAG-prompting similarity search;mE5;Llama 3.3 PEFT;57.76;84.39;62.43;85.53;38.91;62.67;0.0
ICD-10;RAG-prompting similarity search;medBERT.de;Llama 3.1 base;16.9;68.13;18.84;71.19;17.04;45.48;1.98
ICD-10;RAG-prompting similarity search;medBERT.de;Llama 3.1 PEFT;25.69;71.44;31.12;73.44;18.16;47.49;1.14
ICD-10;RAG-prompting similarity search;medBERT.de;Llama 3.3 base;26.83;79.25;30.15;80.41;22.34;58.84;0.49
ICD-10;RAG-prompting similarity search;medBERT.de;Llama 3.3 PEFT;56.23;83.4;61.0;84.58;38.1;62.72;0.0
ICD-10;RAG-prompting classifier head;ModernBERT;Llama 3.1 base;14.82;66.4;16.37;69.6;15.51;44.35;3.01
ICD-10;RAG-prompting classifier head;ModernBERT;Llama 3.1 PEFT;25.1;71.05;29.64;73.12;17.92;45.9;0.49
ICD-10;RAG-prompting classifier head;ModernBERT;Llama 3.3 base;29.94;78.56;33.03;79.84;23.56;59.15;0.54
ICD-10;RAG-prompting classifier head;ModernBERT;Llama 3.3 PEFT;55.93;82.76;60.92;84.15;38.08;61.27;0.0
ICD-10;RAG-prompting classifier head;Nomic Embed v2;Llama 3.1 base;21.39;67.84;23.9;71.23;20.49;48.16;3.66
ICD-10;RAG-prompting classifier head;Nomic Embed v2;Llama 3.1 PEFT;20.31;73.72;24.26;75.1;17.01;47.97;0.0
ICD-10;RAG-prompting classifier head;Nomic Embed v2;Llama 3.3 base;35.92;80.78;39.95;82.55;27.81;62.2;0.89
ICD-10;RAG-prompting classifier head;Nomic Embed v2;Llama 3.3 PEFT;57.26;83.05;62.01;84.45;39.46;63.97;0.0
ICD-10;RAG-prompting classifier head;Qwen3-Embedding-8B;Llama 3.1 base;21.39;69.81;23.28;72.78;19.45;49.42;2.77
ICD-10;RAG-prompting classifier head;Qwen3-Embedding-8B;Llama 3.1 PEFT;19.47;74.51;23.49;76.18;18.5;49.55;0.0
ICD-10;RAG-prompting classifier head;Qwen3-Embedding-8B;Llama 3.3 base;36.81;82.02;40.75;83.63;26.24;63.27;0.64
ICD-10;RAG-prompting classifier head;Qwen3-Embedding-8B;Llama 3.3 PEFT;57.86;82.86;62.74;84.17;40.13;61.12;0.0
ICD-10;RAG-prompting classifier head;SapBERT;Llama 3.1 base;19.32;66.9;21.11;69.92;19.09;46.07;2.08
