ICD10;Label;Rubrik
C24;Bösartige Neubildung sonstiger und nicht näher bezeichneter Teile der Gallenwege;
C24.0;Bösartige Neubildung: Extrahepatischer Gallengang;preferredLong
C24.0;Bösartige Neubildung: Extrahepatischer Gallengang;preferredLong
C24.1;Bösartige Neubildung: Ampulla hepatopancreatica [Ampulla Vateri];preferredLong
C24.1;Bösartige Neubildung: Ampulla hepatopancreatica [Ampulla Vateri];preferredLong
C24.8;Bösartige Neubildung: Gallenwege, mehrere Teilbereiche überlappend;preferredLong
C24.8;Bösartige Neubildung: Gallenwege, mehrere Teilbereiche überlappend;preferredLong
C24.9;Bösartige Neubildung: Gallenwege, nicht näher bezeichnet;preferredLong
C24.9;Bösartige Neubildung: Gallenwege, nicht näher bezeichnet;preferredLong
C25;Bösartige Neubildung des Pankreas;
C25.0;Bösartige Neubildung: Pankreaskopf;preferredLong
C25.0;Bösartige Neubildung: Pankreaskopf;preferredLong
C25.1;Bösartige Neubildung: Pankreaskörper;preferredLong
C25.1;Bösartige Neubildung: Pankreaskörper;preferredLong
C25.2;Bösartige Neubildung: Pankreasschwanz;preferredLong
C25.2;Bösartige Neubildung: Pankreasschwanz;preferredLong
C25.3;Bösartige Neubildung: Ductus pancreaticus;preferredLong
C25.3;Bösartige Neubildung: Ductus pancreaticus;preferredLong
C25.4;Bösartige Neubildung: Endokriner Drüsenanteil des Pankreas;preferredLong
C25.4;Bösartige Neubildung: Endokriner Drüsenanteil des Pankreas;preferredLong
C25.7;Bösartige Neubildung: Sonstige Teile des Pankreas;preferredLong
C25.7;Bösartige Neubildung: Sonstige Teile des Pankreas;preferredLong
C25.8;Bösartige Neubildung: Pankreas, mehrere Teilbereiche überlappend;preferredLong
C25.8;Bösartige Neubildung: Pankreas, mehrere Teilbereiche überlappend;preferredLong
C25.9;Bösartige Neubildung: Pankreas, nicht näher bezeichnet;preferredLong
C25.9;Bösartige Neubildung: Pankreas, nicht näher bezeichnet;preferredLong
C26;Bösartige Neubildung sonstiger und ungenau bezeichneter Verdauungsorgane;
C26.0;Bösartige Neubildung: Intestinaltrakt, Teil nicht näher bezeichnet;preferredLong
C26.0;Bösartige Neubildung: Intestinaltrakt, Teil nicht näher bezeichnet;preferredLong
C26.1;Bösartige Neubildung: Milz;preferredLong
C26.1;Bösartige Neubildung: Milz;preferredLong
C26.8;Bösartige Neubildung: Verdauungssystem, mehrere Teilbereiche überlappend;preferredLong
C26.8;Bösartige Neubildung: Verdauungssystem, mehrere Teilbereiche überlappend;preferredLong
C26.9;Bösartige Neubildung: Ungenau bezeichnete Lokalisationen des Verdauungssystems;preferredLong
C26.9;Bösartige Neubildung: Ungenau bezeichnete Lokalisationen des Verdauungssystems;preferredLong
C30;Bösartige Neubildung der Nasenhöhle und des Mittelohres;
C30.0;Bösartige Neubildung: Nasenhöhle;preferredLong
C30.0;Bösartige Neubildung: Nasenhöhle;preferredLong
