ICD10;Label;Rubrik
C41.8;Bösartige Neubildung: Knochen und Gelenkknorpel, mehrere Teilbereiche überlappend;preferredLong
C41.9;Bösartige Neubildung: Knochen und Gelenkknorpel, nicht näher bezeichnet;preferredLong
C41.9;Bösartige Neubildung: Knochen und Gelenkknorpel, nicht näher bezeichnet;preferredLong
C43;Bösartiges Melanom der Haut;
C43.0;Bösartiges Melanom der Lippe;
C43.1;Bösartiges Melanom des Augenlides, einschließlich Kanthus;
C43.2;Bösartiges Melanom des Ohres und des äußeren Gehörganges;
C43.3;Bösartiges Melanom sonstiger und nicht näher bezeichneter Teile des Gesichtes;
C43.4;Bösartiges Melanom der behaarten Kopfhaut und des Halses;
C43.5;Bösartiges Melanom des Rumpfes;
C43.6;Bösartiges Melanom der oberen Extremität, einschließlich Schulter;
C43.7;Bösartiges Melanom der unteren Extremität, einschließlich Hüfte;
C43.8;Bösartiges Melanom der Haut, mehrere Teilbereiche überlappend;
C43.9;Bösartiges Melanom der Haut, nicht näher bezeichnet;
C44;Sonstige bösartige Neubildungen der Haut;
C44.0;Sonstige bösartige Neubildungen: Lippenhaut;preferredLong
C44.0;Sonstige bösartige Neubildungen: Lippenhaut;preferredLong
C44.1;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus;preferredLong
C44.1;Sonstige bösartige Neubildungen: Haut des Augenlides, einschließlich Kanthus;preferredLong
C44.2;Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges;preferredLong
C44.2;Sonstige bösartige Neubildungen: Haut des Ohres und des äußeren Gehörganges;preferredLong
C44.3;Sonstige bösartige Neubildungen: Haut sonstiger und nicht näher bezeichneter Teile des Gesichtes;preferredLong
C44.3;Sonstige bösartige Neubildungen: Haut sonstiger und nicht näher bezeichneter Teile des Gesichtes;preferredLong
C44.4;Sonstige bösartige Neubildungen: Behaarte Kopfhaut und Haut des Halses;preferredLong
C44.4;Sonstige bösartige Neubildungen: Behaarte Kopfhaut und Haut des Halses;preferredLong
C44.5;Sonstige bösartige Neubildungen: Haut des Rumpfes;preferredLong
C44.5;Sonstige bösartige Neubildungen: Haut des Rumpfes;preferredLong
C44.50;Sonstige bösartige Neubildungen der Haut: Perianalhaut;preferredLong
C44.50;Sonstige bösartige Neubildungen der Haut: Perianalhaut;preferredLong
C44.59;Sonstige bösartige Neubildungen der Haut: Haut sonstiger und nicht näher bezeichneter Teile des Rumpfes;preferredLong
C44.59;Sonstige bösartige Neubildungen der Haut: Haut sonstiger und nicht näher bezeichneter Teile des Rumpfes;preferredLong
C44.6;Sonstige bösartige Neubildungen: Haut der oberen Extremität, einschließlich Schulter;preferredLong
C44.6;Sonstige bösartige Neubildungen: Haut der oberen Extremität, einschließlich Schulter;preferredLong
C44.7;Sonstige bösartige Neubildungen: Haut der unteren Extremität, einschließlich Hüfte;preferredLong
C44.7;Sonstige bösartige Neubildungen: Haut der unteren Extremität, einschließlich Hüfte;preferredLong
C44.8;Sonstige bösartige Neubildungen: Haut, mehrere Teilbereiche überlappend;preferredLong
C44.8;Sonstige bösartige Neubildungen: Haut, mehrere Teilbereiche überlappend;preferredLong
C44.9;Bösartige Neubildung der Haut, nicht näher bezeichnet;
C45;Mesotheliom;
C45.0;Mesotheliom der Pleura;
C45.1;Mesotheliom des Peritoneums;
C45.2;Mesotheliom des Perikards;
C45.7;Mesotheliom sonstiger Lokalisationen;
C45.9;Mesotheliom, nicht näher bezeichnet;
C46;Kaposi-Sarkom [Sarcoma idiopathicum multiplex haemorrhagicum];
C46.0;Kaposi-Sarkom der Haut;
C46.1;Kaposi-Sarkom des Weichteilgewebes;
C46.2;Kaposi-Sarkom des Gaumens;
C46.3;Kaposi-Sarkom der Lymphknoten;
C46.7;Kaposi-Sarkom sonstiger Lokalisationen;
C46.8;Kaposi-Sarkom mehrerer Organe;
C46.9;Kaposi-Sarkom, nicht näher bezeichnet;
C47;Bösartige Neubildung der peripheren Nerven und des autonomen Nervensystems;
C47.0;Bösartige Neubildung: Periphere Nerven des Kopfes, des Gesichtes und des Halses;preferredLong
C47.0;Bösartige Neubildung: Periphere Nerven des Kopfes, des Gesichtes und des Halses;preferredLong
C47.1;Bösartige Neubildung: Periphere Nerven der oberen Extremität, einschließlich Schulter;preferredLong
C47.1;Bösartige Neubildung: Periphere Nerven der oberen Extremität, einschließlich Schulter;preferredLong
C47.2;Bösartige Neubildung: Periphere Nerven der unteren Extremität, einschließlich Hüfte;preferredLong
C47.2;Bösartige Neubildung: Periphere Nerven der unteren Extremität, einschließlich Hüfte;preferredLong
C47.3;Bösartige Neubildung: Periphere Nerven des Thorax;preferredLong
C47.3;Bösartige Neubildung: Periphere Nerven des Thorax;preferredLong
C47.4;Bösartige Neubildung: Periphere Nerven des Abdomens;preferredLong
C47.4;Bösartige Neubildung: Periphere Nerven des Abdomens;preferredLong
C47.5;Bösartige Neubildung: Periphere Nerven des Beckens;preferredLong
C47.5;Bösartige Neubildung: Periphere Nerven des Beckens;preferredLong
C47.6;Bösartige Neubildung: Periphere Nerven des Rumpfes, nicht näher bezeichnet;preferredLong
C47.6;Bösartige Neubildung: Periphere Nerven des Rumpfes, nicht näher bezeichnet;preferredLong
C47.8;Bösartige Neubildung: Periphere Nerven und autonomes Nervensystem, mehrere Teilbereiche überlappend;preferredLong
C47.8;Bösartige Neubildung: Periphere Nerven und autonomes Nervensystem, mehrere Teilbereiche überlappend;preferredLong
C47.9;Bösartige Neubildung: Periphere Nerven und autonomes Nervensystem, nicht näher bezeichnet;preferredLong
C47.9;Bösartige Neubildung: Periphere Nerven und autonomes Nervensystem, nicht näher bezeichnet;preferredLong
C48;Bösartige Neubildung des Retroperitoneums und des Peritoneums;
C48.0;Bösartige Neubildung: Retroperitoneum;preferredLong
C48.0;Bösartige Neubildung: Retroperitoneum;preferredLong
C48.1;Bösartige Neubildung: Näher bezeichnete Teile des Peritoneums;preferredLong
C48.1;Bösartige Neubildung: Näher bezeichnete Teile des Peritoneums;preferredLong
C48.2;Bösartige Neubildung: Peritoneum, nicht näher bezeichnet;preferredLong
C48.2;Bösartige Neubildung: Peritoneum, nicht näher bezeichnet;preferredLong
C48.8;Bösartige Neubildung: Retroperitoneum und Peritoneum, mehrere Teilbereiche überlappend;preferredLong
C48.8;Bösartige Neubildung: Retroperitoneum und Peritoneum, mehrere Teilbereiche überlappend;preferredLong
C49;Bösartige Neubildung sonstigen Bindegewebes und anderer Weichteilgewebe;
C49.0;Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe des Kopfes, des Gesichtes und des Halses;preferredLong
C49.0;Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe des Kopfes, des Gesichtes und des Halses;preferredLong
C49.1;Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe der oberen Extremität, einschließlich Schulter;preferredLong
C49.1;Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe der oberen Extremität, einschließlich Schulter;preferredLong
C49.2;Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe der unteren Extremität, einschließlich Hüfte;preferredLong
C49.2;Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe der unteren Extremität, einschließlich Hüfte;preferredLong
C49.3;Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe des Thorax;preferredLong
C49.3;Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe des Thorax;preferredLong
C49.4;Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe des Abdomens;preferredLong
C49.4;Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe des Abdomens;preferredLong
C49.5;Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe des Beckens;preferredLong
C49.5;Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe des Beckens;preferredLong
C49.6;Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe des Rumpfes, nicht näher bezeichnet;preferredLong
C49.6;Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe des Rumpfes, nicht näher bezeichnet;preferredLong
C49.8;Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe, mehrere Teilbereiche überlappend;preferredLong
C49.8;Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe, mehrere Teilbereiche überlappend;preferredLong
C49.9;Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe, nicht näher bezeichnet;preferredLong
C49.9;Bösartige Neubildung: Bindegewebe und andere Weichteilgewebe, nicht näher bezeichnet;preferredLong
C50;Bösartige Neubildung der Brustdrüse [Mamma];
C50.0;Bösartige Neubildung: Brustwarze und Warzenhof;preferredLong
C50.0;Bösartige Neubildung: Brustwarze und Warzenhof;preferredLong
C50.1;Bösartige Neubildung: Zentraler Drüsenkörper der Brustdrüse;preferredLong
C50.1;Bösartige Neubildung: Zentraler Drüsenkörper der Brustdrüse;preferredLong
C50.2;Bösartige Neubildung: Oberer innerer Quadrant der Brustdrüse;preferredLong
C50.2;Bösartige Neubildung: Oberer innerer Quadrant der Brustdrüse;preferredLong
C50.3;Bösartige Neubildung: Unterer innerer Quadrant der Brustdrüse;preferredLong
C50.3;Bösartige Neubildung: Unterer innerer Quadrant der Brustdrüse;preferredLong
C50.4;Bösartige Neubildung: Oberer äußerer Quadrant der Brustdrüse;preferredLong
C50.4;Bösartige Neubildung: Oberer äußerer Quadrant der Brustdrüse;preferredLong
C50.5;Bösartige Neubildung: Unterer äußerer Quadrant der Brustdrüse;preferredLong
C50.5;Bösartige Neubildung: Unterer äußerer Quadrant der Brustdrüse;preferredLong
C50.6;Bösartige Neubildung: Recessus axillaris der Brustdrüse;preferredLong
C50.6;Bösartige Neubildung: Recessus axillaris der Brustdrüse;preferredLong
C50.8;Bösartige Neubildung: Brustdrüse, mehrere Teilbereiche überlappend;preferredLong
C50.8;Bösartige Neubildung: Brustdrüse, mehrere Teilbereiche überlappend;preferredLong
C50.9;Bösartige Neubildung: Brustdrüse, nicht näher bezeichnet;preferredLong
C50.9;Bösartige Neubildung: Brustdrüse, nicht näher bezeichnet;preferredLong
C51;Bösartige Neubildung der Vulva;
C51.0;Bösartige Neubildung der Vulva: Labium majus;preferredLong
C51.0;Bösartige Neubildung der Vulva: Labium majus;preferredLong
C51.1;Bösartige Neubildung der Vulva: Labium minus;preferredLong
C51.1;Bösartige Neubildung der Vulva: Labium minus;preferredLong
C51.2;Bösartige Neubildung der Vulva: Klitoris;preferredLong
C51.2;Bösartige Neubildung der Vulva: Klitoris;preferredLong
C51.8;Bösartige Neubildung: Vulva, mehrere Teilbereiche überlappend;preferredLong
C51.8;Bösartige Neubildung: Vulva, mehrere Teilbereiche überlappend;preferredLong
C51.9;Bösartige Neubildung: Vulva, nicht näher bezeichnet;preferredLong
C51.9;Bösartige Neubildung: Vulva, nicht näher bezeichnet;preferredLong
C52;Bösartige Neubildung der Vagina;
C53;Bösartige Neubildung der Cervix uteri;
C53.0;Bösartige Neubildung: Endozervix;preferredLong
C53.0;Bösartige Neubildung: Endozervix;preferredLong
C53.1;Bösartige Neubildung: Ektozervix;preferredLong
C53.1;Bösartige Neubildung: Ektozervix;preferredLong
C53.8;Bösartige Neubildung: Cervix uteri, mehrere Teilbereiche überlappend;preferredLong
C53.8;Bösartige Neubildung: Cervix uteri, mehrere Teilbereiche überlappend;preferredLong
C53.9;Bösartige Neubildung: Cervix uteri, nicht näher bezeichnet;preferredLong
C53.9;Bösartige Neubildung: Cervix uteri, nicht näher bezeichnet;preferredLong
C54;Bösartige Neubildung des Corpus uteri;
C54.0;Bösartige Neubildung: Isthmus uteri;preferredLong
C54.0;Bösartige Neubildung: Isthmus uteri;preferredLong
C54.1;Bösartige Neubildung: Endometrium;preferredLong
C54.1;Bösartige Neubildung: Endometrium;preferredLong
C54.2;Bösartige Neubildung: Myometrium;preferredLong
C54.2;Bösartige Neubildung: Myometrium;preferredLong
C54.3;Bösartige Neubildung: Fundus uteri;preferredLong
C54.3;Bösartige Neubildung: Fundus uteri;preferredLong
C54.8;Bösartige Neubildung: Corpus uteri, mehrere Teilbereiche überlappend;preferredLong
C54.8;Bösartige Neubildung: Corpus uteri, mehrere Teilbereiche überlappend;preferredLong
C54.9;Bösartige Neubildung: Corpus uteri, nicht näher bezeichnet;preferredLong
C54.9;Bösartige Neubildung: Corpus uteri, nicht näher bezeichnet;preferredLong
C55;Bösartige Neubildung des Uterus, Teil nicht näher bezeichnet;
C56;Bösartige Neubildung des Ovars;
C57;Bösartige Neubildung sonstiger und nicht näher bezeichneter weiblicher Genitalorgane;
C57.0;Bösartige Neubildung: Tuba uterina [Falloppio];preferredLong
C57.0;Bösartige Neubildung: Tuba uterina [Falloppio];preferredLong
C57.1;Bösartige Neubildung: Lig. latum uteri;preferredLong
C57.1;Bösartige Neubildung: Lig. latum uteri;preferredLong
C57.2;Bösartige Neubildung: Lig. teres uteri;preferredLong
C57.2;Bösartige Neubildung: Lig. teres uteri;preferredLong
C57.3;Bösartige Neubildung: Parametrium;preferredLong
C57.3;Bösartige Neubildung: Parametrium;preferredLong
C57.4;Bösartige Neubildung: Uterine Adnexe, nicht näher bezeichnet;preferredLong
C57.4;Bösartige Neubildung: Uterine Adnexe, nicht näher bezeichnet;preferredLong
C57.7;Bösartige Neubildung: Sonstige näher bezeichnete weibliche Genitalorgane;preferredLong
C57.7;Bösartige Neubildung: Sonstige näher bezeichnete weibliche Genitalorgane;preferredLong
C57.8;Bösartige Neubildung: Weibliche Genitalorgane, mehrere Teilbereiche überlappend;preferredLong
C57.8;Bösartige Neubildung: Weibliche Genitalorgane, mehrere Teilbereiche überlappend;preferredLong
C57.9;Bösartige Neubildung: Weibliches Genitalorgan, nicht näher bezeichnet;preferredLong
C57.9;Bösartige Neubildung: Weibliches Genitalorgan, nicht näher bezeichnet;preferredLong
C58;Bösartige Neubildung der Plazenta;
C60;Bösartige Neubildung des Penis;
C60.0;Bösartige Neubildung: Praeputium penis;preferredLong
C60.0;Bösartige Neubildung: Praeputium penis;preferredLong
C60.1;Bösartige Neubildung: Glans penis;preferredLong
C60.1;Bösartige Neubildung: Glans penis;preferredLong
C60.2;Bösartige Neubildung: Penisschaft;preferredLong
C60.2;Bösartige Neubildung: Penisschaft;preferredLong
C60.8;Bösartige Neubildung: Penis, mehrere Teilbereiche überlappend;preferredLong
C60.8;Bösartige Neubildung: Penis, mehrere Teilbereiche überlappend;preferredLong
C60.9;Bösartige Neubildung: Penis, nicht näher bezeichnet;preferredLong
C60.9;Bösartige Neubildung: Penis, nicht näher bezeichnet;preferredLong
C61;Bösartige Neubildung der Prostata;
C62;Bösartige Neubildung des Hodens;
C62.0;Bösartige Neubildung: Dystoper Hoden;preferredLong
C62.0;Bösartige Neubildung: Dystoper Hoden;preferredLong
C62.1;Bösartige Neubildung: Deszendierter Hoden;preferredLong
C62.1;Bösartige Neubildung: Deszendierter Hoden;preferredLong
C62.9;Bösartige Neubildung: Hoden, nicht näher bezeichnet;preferredLong
C62.9;Bösartige Neubildung: Hoden, nicht näher bezeichnet;preferredLong
C63;Bösartige Neubildung sonstiger und nicht näher bezeichneter männlicher Genitalorgane;
C63.0;Bösartige Neubildung: Nebenhoden [Epididymis];preferredLong
C63.0;Bösartige Neubildung: Nebenhoden [Epididymis];preferredLong
C63.1;Bösartige Neubildung: Samenstrang;preferredLong
C63.1;Bösartige Neubildung: Samenstrang;preferredLong
C63.2;Bösartige Neubildung: Skrotum;preferredLong
C63.2;Bösartige Neubildung: Skrotum;preferredLong
C63.7;Bösartige Neubildung: Sonstige näher bezeichnete männliche Genitalorgane;preferredLong
C63.7;Bösartige Neubildung: Sonstige näher bezeichnete männliche Genitalorgane;preferredLong
C63.8;Bösartige Neubildung: Männliche Genitalorgane, mehrere Teilbereiche überlappend;preferredLong
C63.8;Bösartige Neubildung: Männliche Genitalorgane, mehrere Teilbereiche überlappend;preferredLong
C63.9;Bösartige Neubildung: Männliches Genitalorgan, nicht näher bezeichnet;preferredLong
C63.9;Bösartige Neubildung: Männliches Genitalorgan, nicht näher bezeichnet;preferredLong
C64;Bösartige Neubildung der Niere, ausgenommen Nierenbecken;
C65;Bösartige Neubildung des Nierenbeckens;
C66;Bösartige Neubildung des Ureters;
C67;Bösartige Neubildung der Harnblase;
C67.0;Bösartige Neubildung: Trigonum vesicae;preferredLong
C67.0;Bösartige Neubildung: Trigonum vesicae;preferredLong
C67.1;Bösartige Neubildung: Apex vesicae;preferredLong
C67.1;Bösartige Neubildung: Apex vesicae;preferredLong
C67.2;Bösartige Neubildung: Laterale Harnblasenwand;preferredLong
C67.2;Bösartige Neubildung: Laterale Harnblasenwand;preferredLong
C67.3;Bösartige Neubildung: Vordere Harnblasenwand;preferredLong
C67.3;Bösartige Neubildung: Vordere Harnblasenwand;preferredLong
C67.4;Bösartige Neubildung: Hintere Harnblasenwand;preferredLong
C67.4;Bösartige Neubildung: Hintere Harnblasenwand;preferredLong
C67.5;Bösartige Neubildung: Harnblasenhals;preferredLong
C67.5;Bösartige Neubildung: Harnblasenhals;preferredLong
C67.6;Bösartige Neubildung: Ostium ureteris;preferredLong
C67.6;Bösartige Neubildung: Ostium ureteris;preferredLong
C67.7;Bösartige Neubildung: Urachus;preferredLong
C67.7;Bösartige Neubildung: Urachus;preferredLong
C67.8;Bösartige Neubildung: Harnblase, mehrere Teilbereiche überlappend;preferredLong
C67.8;Bösartige Neubildung: Harnblase, mehrere Teilbereiche überlappend;preferredLong
C67.9;Bösartige Neubildung: Harnblase, nicht näher bezeichnet;preferredLong
C67.9;Bösartige Neubildung: Harnblase, nicht näher bezeichnet;preferredLong
C68;Bösartige Neubildung sonstiger und nicht näher bezeichneter Harnorgane;
C68.0;Bösartige Neubildung: Urethra;preferredLong
C68.0;Bösartige Neubildung: Urethra;preferredLong
C68.1;Bösartige Neubildung: Paraurethrale Drüse;preferredLong
C68.1;Bösartige Neubildung: Paraurethrale Drüse;preferredLong
C68.8;Bösartige Neubildung: Harnorgane, mehrere Teilbereiche überlappend;preferredLong
C68.8;Bösartige Neubildung: Harnorgane, mehrere Teilbereiche überlappend;preferredLong
C68.9;Bösartige Neubildung: Harnorgan, nicht näher bezeichnet;preferredLong
C68.9;Bösartige Neubildung: Harnorgan, nicht näher bezeichnet;preferredLong
C69;Bösartige Neubildung des Auges und der Augenanhangsgebilde;
C69.0;Bösartige Neubildung: Konjunktiva;preferredLong
C69.0;Bösartige Neubildung: Konjunktiva;preferredLong
C69.1;Bösartige Neubildung: Kornea;preferredLong
C69.1;Bösartige Neubildung: Kornea;preferredLong
C69.2;Bösartige Neubildung: Retina;preferredLong
C69.2;Bösartige Neubildung: Retina;preferredLong
C69.3;Bösartige Neubildung: Chorioidea;preferredLong
C69.3;Bösartige Neubildung: Chorioidea;preferredLong
C69.4;Bösartige Neubildung: Ziliarkörper;preferredLong
C69.4;Bösartige Neubildung: Ziliarkörper;preferredLong
C69.5;Bösartige Neubildung: Tränendrüse und Tränenwege;preferredLong
C69.5;Bösartige Neubildung: Tränendrüse und Tränenwege;preferredLong
C69.6;Bösartige Neubildung: Orbita;preferredLong
C69.6;Bösartige Neubildung: Orbita;preferredLong
C69.8;Bösartige Neubildung: Auge und Augenanhangsgebilde, mehrere Teilbereiche überlappend;preferredLong
C69.8;Bösartige Neubildung: Auge und Augenanhangsgebilde, mehrere Teilbereiche überlappend;preferredLong
C69.9;Bösartige Neubildung: Auge, nicht näher bezeichnet;preferredLong
C69.9;Bösartige Neubildung: Auge, nicht näher bezeichnet;preferredLong
C70;Bösartige Neubildung der Meningen;
C70.0;Bösartige Neubildung: Hirnhäute;preferredLong
C70.0;Bösartige Neubildung: Hirnhäute;preferredLong
C70.1;Bösartige Neubildung: Rückenmarkhäute;preferredLong
C70.1;Bösartige Neubildung: Rückenmarkhäute;preferredLong
C70.9;Bösartige Neubildung: Meningen, nicht näher bezeichnet;preferredLong
C70.9;Bösartige Neubildung: Meningen, nicht näher bezeichnet;preferredLong
C71;Bösartige Neubildung des Gehirns;
C71.0;Bösartige Neubildung: Zerebrum, ausgenommen Hirnlappen und Ventrikel;preferredLong
C71.0;Bösartige Neubildung: Zerebrum, ausgenommen Hirnlappen und Ventrikel;preferredLong
C71.1;Bösartige Neubildung: Frontallappen;preferredLong
C71.1;Bösartige Neubildung: Frontallappen;preferredLong
C71.2;Bösartige Neubildung: Temporallappen;preferredLong
C71.2;Bösartige Neubildung: Temporallappen;preferredLong
C71.3;Bösartige Neubildung: Parietallappen;preferredLong
C71.3;Bösartige Neubildung: Parietallappen;preferredLong
C71.4;Bösartige Neubildung: Okzipitallappen;preferredLong
C71.4;Bösartige Neubildung: Okzipitallappen;preferredLong
C71.5;Bösartige Neubildung: Hirnventrikel;preferredLong
C71.5;Bösartige Neubildung: Hirnventrikel;preferredLong
C71.6;Bösartige Neubildung: Zerebellum;preferredLong
C71.6;Bösartige Neubildung: Zerebellum;preferredLong
C71.7;Bösartige Neubildung: Hirnstamm;preferredLong
C71.7;Bösartige Neubildung: Hirnstamm;preferredLong
C71.8;Bösartige Neubildung: Gehirn, mehrere Teilbereiche überlappend;preferredLong
C71.8;Bösartige Neubildung: Gehirn, mehrere Teilbereiche überlappend;preferredLong
C71.9;Bösartige Neubildung: Gehirn, nicht näher bezeichnet;preferredLong
C71.9;Bösartige Neubildung: Gehirn, nicht näher bezeichnet;preferredLong
C72;Bösartige Neubildung des Rückenmarkes, der Hirnnerven und anderer Teile des Zentralnervensystems;
C72.0;Bösartige Neubildung: Rückenmark;preferredLong
C72.0;Bösartige Neubildung: Rückenmark;preferredLong
C72.1;Bösartige Neubildung: Cauda equina;preferredLong
C72.1;Bösartige Neubildung: Cauda equina;preferredLong
C72.2;Bösartige Neubildung: Nn. olfactorii [I. Hirnnerv];preferredLong
C72.2;Bösartige Neubildung: Nn. olfactorii [I. Hirnnerv];preferredLong
C72.3;Bösartige Neubildung: N. opticus [II. Hirnnerv];preferredLong
C72.3;Bösartige Neubildung: N. opticus [II. Hirnnerv];preferredLong
C72.4;Bösartige Neubildung: N. vestibulocochlearis [VIII. Hirnnerv];preferredLong
C72.4;Bösartige Neubildung: N. vestibulocochlearis [VIII. Hirnnerv];preferredLong
C72.5;Bösartige Neubildung: Sonstige und nicht näher bezeichnete Hirnnerven;preferredLong
C72.5;Bösartige Neubildung: Sonstige und nicht näher bezeichnete Hirnnerven;preferredLong
C72.8;Bösartige Neubildung: Gehirn und andere Teile des Zentralnervensystems, mehrere Teilbereiche überlappend;preferredLong
C72.8;Bösartige Neubildung: Gehirn und andere Teile des Zentralnervensystems, mehrere Teilbereiche überlappend;preferredLong
C72.9;Bösartige Neubildung: Zentralnervensystem, nicht näher bezeichnet;preferredLong
C72.9;Bösartige Neubildung: Zentralnervensystem, nicht näher bezeichnet;preferredLong
C73;Bösartige Neubildung der Schilddrüse;
C74;Bösartige Neubildung der Nebenniere;
C74.0;Bösartige Neubildung: Nebennierenrinde;preferredLong
C74.0;Bösartige Neubildung: Nebennierenrinde;preferredLong
C74.1;Bösartige Neubildung: Nebennierenmark;preferredLong
C74.1;Bösartige Neubildung: Nebennierenmark;preferredLong
C74.9;Bösartige Neubildung: Nebenniere, nicht näher bezeichnet;preferredLong
C74.9;Bösartige Neubildung: Nebenniere, nicht näher bezeichnet;preferredLong
C75;Bösartige Neubildung sonstiger endokriner Drüsen und verwandter Strukturen;
C75.0;Bösartige Neubildung: Nebenschilddrüse;preferredLong
C75.0;Bösartige Neubildung: Nebenschilddrüse;preferredLong
C75.1;Bösartige Neubildung: Hypophyse;preferredLong
C75.1;Bösartige Neubildung: Hypophyse;preferredLong
C75.2;Bösartige Neubildung: Ductus craniopharyngealis;preferredLong
C75.2;Bösartige Neubildung: Ductus craniopharyngealis;preferredLong
C75.3;Bösartige Neubildung: Epiphyse [Glandula pinealis] [Zirbeldrüse];preferredLong
C75.3;Bösartige Neubildung: Epiphyse [Glandula pinealis] [Zirbeldrüse];preferredLong
C75.4;Bösartige Neubildung: Glomus caroticum;preferredLong
C75.4;Bösartige Neubildung: Glomus caroticum;preferredLong
C75.5;Bösartige Neubildung: Glomus aorticum und sonstige Paraganglien;preferredLong
C75.5;Bösartige Neubildung: Glomus aorticum und sonstige Paraganglien;preferredLong
C75.8;Bösartige Neubildung: Beteiligung mehrerer endokriner Drüsen, nicht näher bezeichnet;preferredLong
C75.8;Bösartige Neubildung: Beteiligung mehrerer endokriner Drüsen, nicht näher bezeichnet;preferredLong
C75.9;Bösartige Neubildung: Endokrine Drüse, nicht näher bezeichnet;preferredLong
C75.9;Bösartige Neubildung: Endokrine Drüse, nicht näher bezeichnet;preferredLong
C76;Bösartige Neubildung sonstiger und ungenau bezeichneter Lokalisationen;
C76.0;Bösartige Neubildung ungenau bezeichneter Lokalisationen: Kopf, Gesicht und Hals;preferredLong
C76.0;Bösartige Neubildung ungenau bezeichneter Lokalisationen: Kopf, Gesicht und Hals;preferredLong
C76.1;Bösartige Neubildung ungenau bezeichneter Lokalisationen: Thorax;preferredLong
C76.1;Bösartige Neubildung ungenau bezeichneter Lokalisationen: Thorax;preferredLong
C76.2;Bösartige Neubildung ungenau bezeichneter Lokalisationen: Abdomen;preferredLong
C76.2;Bösartige Neubildung ungenau bezeichneter Lokalisationen: Abdomen;preferredLong
C76.3;Bösartige Neubildung ungenau bezeichneter Lokalisationen: Becken;preferredLong
C76.3;Bösartige Neubildung ungenau bezeichneter Lokalisationen: Becken;preferredLong
C76.4;Bösartige Neubildung ungenau bezeichneter Lokalisationen: Obere Extremität;preferredLong
C76.4;Bösartige Neubildung ungenau bezeichneter Lokalisationen: Obere Extremität;preferredLong
C76.5;Bösartige Neubildung ungenau bezeichneter Lokalisationen: Untere Extremität;preferredLong
C76.5;Bösartige Neubildung ungenau bezeichneter Lokalisationen: Untere Extremität;preferredLong
C76.7;Bösartige Neubildung: Sonstige ungenau bezeichnete Lokalisationen;preferredLong
C76.7;Bösartige Neubildung: Sonstige ungenau bezeichnete Lokalisationen;preferredLong
C76.8;Bösartige Neubildung: Sonstige und ungenau bezeichnete Lokalisationen, mehrere Teilbereiche überlappend;preferredLong
C76.8;Bösartige Neubildung: Sonstige und ungenau bezeichnete Lokalisationen, mehrere Teilbereiche überlappend;preferredLong
C80;Bösartige Neubildung ohne Angabe der Lokalisation;
C80.0;Bösartige Neubildung, primäre Lokalisation unbekannt, so bezeichnet;
C80.9;Bösartige Neubildung, nicht näher bezeichnet;
C81;Hodgkin-Lymphom [Lymphogranulomatose];
C81.0;Noduläres lymphozytenprädominantes Hodgkin-Lymphom;
C81.1;Nodulär-sklerosierendes (klassisches) Hodgkin-Lymphom;
C81.2;Gemischtzelliges (klassisches) Hodgkin-Lymphom;
C81.3;Lymphozytenarmes (klassisches) Hodgkin-Lymphom;
C81.4;Lymphozytenreiches (klassisches) Hodgkin-Lymphom;
C81.7;Sonstige Typen des (klassischen) Hodgkin-Lymphoms;
C81.9;Hodgkin-Lymphom, nicht näher bezeichnet;
C82;Follikuläres Lymphom;
C82.0;Follikuläres Lymphom Grad I;
C82.1;Follikuläres Lymphom Grad II;
C82.2;Follikuläres Lymphom Grad III, nicht näher bezeichnet;
C82.3;Follikuläres Lymphom Grad IIIa;
C82.4;Follikuläres Lymphom Grad IIIb;
C82.5;Diffuses Follikelzentrumslymphom;
C82.6;Kutanes Follikelzentrumslymphom;
C82.7;Sonstige Typen des follikulären Lymphoms;
C82.9;Follikuläres Lymphom, nicht näher bezeichnet;
C83;Nicht follikuläres Lymphom;
C83.0;Kleinzelliges B-Zell-Lymphom;
C83.1;Mantelzell-Lymphom;
C83.3;Diffuses großzelliges B-Zell-Lymphom;
C83.5;Lymphoblastisches Lymphom;
C83.7;Burkitt-Lymphom;
C83.8;Sonstige nicht follikuläre Lymphome;
C83.9;Nicht follikuläres Lymphom, nicht näher bezeichnet;
