Version	Topographie	Topographie Text	Morphologiecodes	Dignität	Default	ICD10	ICD-10 Text
ICD-O-3.2 2019	C14\.2	Waldeyer-Ring	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C14.2	Bösartige Neubildung: Lymphatischer Rachenring [Waldeyer]
ICD-O-3.2 2019	C14\.8	Lippe, Mundhöhle und Pharynx, mehrere Bereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C14.8	Bösartige Neubildung: Lippe, Mundhöhle und Pharynx, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C15\.0	Ösophagus, Pars cervicalis	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C15.0	Bösartige Neubildung: Zervikaler Ösophagus
ICD-O-3.2 2019	C15\.1	Ösophagus, Pars thoracalis	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C15.1	Bösartige Neubildung: Thorakaler Ösophagus
ICD-O-3.2 2019	C15\.2	Ösophagus, Pars abdominalis	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C15.2	Bösartige Neubildung: Abdominaler Ösophagus
ICD-O-3.2 2019	C15\.3	Ösophagus, oberes Drittel	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C15.3	Bösartige Neubildung: Ösophagus, oberes Drittel
ICD-O-3.2 2019	C15\.4	Ösophagus, mittleres Drittel	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C15.4	Bösartige Neubildung: Ösophagus, mittleres Drittel
ICD-O-3.2 2019	C15\.5	Ösophagus, unteres intrathorakales Drittel	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C15.5	Bösartige Neubildung: Ösophagus, unteres Drittel
ICD-O-3.2 2019	C15\.8	Ösophagus, mehrere Teilbereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C15.8	Bösartige Neubildung: Ösophagus, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C15\.9	Ösophagus o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C15.9	Bösartige Neubildung: Ösophagus, nicht näher bezeichnet
ICD-O-3.2 2019	C16\.0	Kardia o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C16.0	Bösartige Neubildung: Kardia
ICD-O-3.2 2019	C16\.1	Fundus ventriculi	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C16.1	Bösartige Neubildung: Fundus ventriculi
ICD-O-3.2 2019	C16\.2	Corpus ventriculi	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C16.2	Bösartige Neubildung: Corpus ventriculi
ICD-O-3.2 2019	C16\.3	Antrum ventriculi	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C16.3	Bösartige Neubildung: Antrum pyloricum
ICD-O-3.2 2019	C16\.4	Pylorus	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C16.4	Bösartige Neubildung: Pylorus
ICD-O-3.2 2019	C16\.5	Kleine Kurvatur o.n.A	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C16.5	Bösartige Neubildung: Kleine Kurvatur des Magens, nicht näher bezeichnet
ICD-O-3.2 2019	C16\.6	Große Kurvatur o.n.A	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C16.6	Bösartige Neubildung: Große Kurvatur des Magens, nicht näher bezeichnet
ICD-O-3.2 2019	C16\.8	Magen, mehrere Teilbereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C16.8	Bösartige Neubildung: Magen, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C16\.9	Magen o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C16.9	Bösartige Neubildung: Magen, nicht näher bezeichnet
ICD-O-3.2 2019	C17\.0	Duodenum	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C17.0	Bösartige Neubildung: Duodenum
ICD-O-3.2 2019	C17\.1	Jejunum	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C17.1	Bösartige Neubildung: Jejunum
ICD-O-3.2 2019	C17\.2	Ileum	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C17.2	Bösartige Neubildung: Ileum
ICD-O-3.2 2019	C17\.3	Meckel-Divertikel	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C17.3	Bösartige Neubildung: Meckel-Divertikel
ICD-O-3.2 2019	C17\.8	Dünndarm, mehrere Teilbereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C17.8	Bösartige Neubildung: Dünndarm, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C17\.9	Dünndarm o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C17.9	Bösartige Neubildung: Dünndarm, nicht näher bezeichnet
ICD-O-3.2 2019	C18\.0	Zökum	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C18.0	Bösartige Neubildung: Zäkum
ICD-O-3.2 2019	C18\.1	Appendix vermiformis	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C18.1	Bösartige Neubildung: Appendix vermiformis
ICD-O-3.2 2019	C18\.2	Colon ascendens	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C18.2	Bösartige Neubildung: Colon ascendens
ICD-O-3.2 2019	C18\.3	Flexura hepatica	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C18.3	Bösartige Neubildung: Flexura coli dextra [hepatica]
ICD-O-3.2 2019	C18\.4	Colon transversum	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C18.4	Bösartige Neubildung: Colon transversum
ICD-O-3.2 2019	C18\.5	Flexura lienalis coli	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C18.5	Bösartige Neubildung: Flexura coli sinistra [lienalis]
ICD-O-3.2 2019	C18\.6	Colon descendens	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C18.6	Bösartige Neubildung: Colon descendens
ICD-O-3.2 2019	C18\.7	Colon sigmoideum	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C18.7	Bösartige Neubildung: Colon sigmoideum
ICD-O-3.2 2019	C18\.8	Kolon, mehrere Teilbereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C18.8	Bösartige Neubildung: Kolon, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C18\.9	Colon	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C18.9	Bösartige Neubildung: Kolon, nicht näher bezeichnet
ICD-O-3.2 2019	C19\.9	Rektosigmoidaler Übergang	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C19	Bösartige Neubildung am Rektosigmoid, Übergang
ICD-O-3.2 2019	C20\.9	Rektum o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C20	Bösartige Neubildung des Rektums
ICD-O-3.2 2019	C21\.0	Anus o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C21.0	Bösartige Neubildung: Anus, nicht näher bezeichnet
ICD-O-3.2 2019	C21\.1	Analkanal	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C21.1	Bösartige Neubildung: Analkanal
ICD-O-3.2 2019	C21\.2	Kloakenregion	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C21.2	Bösartige Neubildung: Kloakenregion
ICD-O-3.2 2019	C21\.8	Rektum, Anus und Analkanal, mehrere Bereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C21.8	Bösartige Neubildung: Rektum, Anus und Analkanal, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C22\.0	Leber (HCC: 8170-8180)	8170-8180	/3	1	C22.0	Leberzellkarzinom
ICD-O-3.2 2019	C22\.1	Intrahepatische Gallengänge (8010-8575 inkl. NET/NEC ohne HCC))	8010-8576	/3	1	C22.1	Intrahepatisches Gallengangskarzinom
ICD-O-3.2 2019	C22\.0	Leber (8970/3)	8970	/3	1	C22.2	Hepatoblastom
ICD-O-3.2 2019	C22\.0	Leber (9120-9138) Angio	9120-9138	/3	1	C22.3	Angiosarkom der Leber
ICD-O-3.2 2019	C22\.0	Leber (WHO Familie 2 Gruppe 6 ohne Angio ICD-10 C22.3)	8800-8921, 9040-9045, 9170-9252	/3	1	C22.4	Sonstige Sarkome der Leber
ICD-O-3.2 2019	C22\.0	Leber (8010-8575 inkl. NET/NEC ohne HCC)	8010-8163, 8190-8576, 8980-8991	/3	1	C22.7	Sonstige näher bezeichnete Karzinome der Leber
ICD-O-3.2 2019	C22\.0	Leber (Keimzelltumoren, andere, nicht in C22.0-7 genannte)	8590-8714, 9060-9110, 9350-9589, 8720-8790	/3	1	C22.9	Bösartige Neubildung: Leber, nicht näher bezeichnet
ICD-O-3.2 2019	C23\.9	Gallenblase	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C23	Bösartige Neubildung der Gallenblase
ICD-O-3.2 2019	C24\.0	Extrahepatischer Gallengang	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C24.0	Bösartige Neubildung: Extrahepatischer Gallengang
ICD-O-3.2 2019	C24\.1	Ampulla Vateri	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C24.1	Bösartige Neubildung: Ampulla hepatopancreatica [Ampulla Vateri]
ICD-O-3.2 2019	C24\.8	Gallenwege, mehrere Bereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C24.8	Bösartige Neubildung: Gallenwege, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C24\.9	Gallenwege o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C24.9	Bösartige Neubildung: Gallenwege, nicht näher bezeichnet
ICD-O-3.2 2019	C25\.0	Pankreaskopf	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C25.0	Bösartige Neubildung: Pankreaskopf
ICD-O-3.2 2019	C25\.1	Pankreaskörper	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C25.1	Bösartige Neubildung: Pankreaskörper
ICD-O-3.2 2019	C25\.2	Pankreasschwanz	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C25.2	Bösartige Neubildung: Pankreasschwanz
ICD-O-3.2 2019	C25\.3	Ductus pancreaticus	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C25.3	Bösartige Neubildung: Ductus pancreaticus
ICD-O-3.2 2019	C25\.4	Pankreas-Inselzellen (Histos: nur NET)	8010-8249	/3	1	C25.4	Bösartige Neubildung: Endokriner Drüsenanteil des Pankreas
ICD-O-3.2 2019	C25\.7	Sonstige näher bezeichnete Teile des Pankreas	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C25.7	Bösartige Neubildung: Sonstige Teile des Pankreas
ICD-O-3.2 2019	C25\.8	Pankreas, mehrere Teilbereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C25.8	Bösartige Neubildung: Pankreas, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C25\.9	Pankreas o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C25.9	Bösartige Neubildung: Pankreas, nicht näher bezeichnet
ICD-O-3.2 2019	C26\.0	Intestinaltrakt o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C26.0	Bösartige Neubildung: Intestinaltrakt, Teil nicht näher bezeichnet
ICD-O-3.2 2019	C42\.2	Milz	8000, 8800-9045, 9060-9139, 9150-9589	/3	1	C26.1	Bösartige Neubildung: Milz
ICD-O-3.2 2019	C26\.8	Verdauungssystem, mehrere Bereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C26.8	Bösartige Neubildung: Verdauungssystem, mehrere Teilbereiche überlappend
ICD-O-3.2 2019	C26\.9	Gastrointestinaltrakt o.n.A.	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C26.9	Bösartige Neubildung: Ungenau bezeichnete Lokalisationen des Verdauungssystems
ICD-O-3.2 2019	C30\.0	Nasenhöhle	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C30.0	Bösartige Neubildung: Nasenhöhle
ICD-O-3.2 2019	C30\.1	Mittelohr	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C30.1	Bösartige Neubildung: Mittelohr
ICD-O-3.2 2019	C31\.0	Sinus maxillaris	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C31.0	Bösartige Neubildung: Sinus maxillaris [Kieferhöhle]
ICD-O-3.2 2019	C31\.1	Sinus ethmoidalis	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C31.1	Bösartige Neubildung: Sinus ethmoidalis [Siebbeinzellen]
ICD-O-3.2 2019	C31\.2	Sinus frontalis	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C31.2	Bösartige Neubildung: Sinus frontalis [Stirnhöhle]
ICD-O-3.2 2019	C31\.3	Sinus sphenoidalis	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C31.3	Bösartige Neubildung: Sinus sphenoidalis [Keilbeinhöhle]
ICD-O-3.2 2019	C31\.8	Nasennebenhöhlen, mehrere Teilbereiche überlappend	8000-8719, 8800-9045, 9060-9139, 9150-9589, 8720-8790	/3	1	C31.8	Bösartige Neubildung: Nasennebenhöhlen, mehrere Teilbereiche überlappend
